frame,player_id,x,y,w,h,cx,cy,area
102,1,667,734,62,154,691.3700118530226,815.8115369419202,5062
102,2,970,199,38,80,987.8124318429662,238.40894220283533,917
103,1,665,734,63,150,690.318511627907,812.5274418604652,5375
103,2,972,197,41,81,988.3198847262248,236.50816522574448,1041
104,1,664,734,57,150,686.9303463118763,815.0021522207004,5111
104,2,969,193,43,85,986.0742857142857,232.53714285714287,1225
105,1,659,735,52,149,683.8578827429045,817.5769629169256,4827
105,2,964,189,49,71,983.608310626703,224.04359673024524,1468
106,1,655,774,54,112,683.5906217070601,833.218124341412,3796
106,2,962,176,50,84,981.6301864101022,221.92242934455803,1663
107,1,650,740,59,147,679.2446952595936,822.4801354401806,4430
107,2,956,177,56,84,976.667429879794,223.0532341156268,1747
108,1,645,776,71,112,679.0415094339622,834.4550943396226,3975
108,2,948,188,55,76,972.2626076260763,227.3690036900369,1626
109,1,642,779,73,111,678.2910040351294,835.605269404225,4213
109,2,944,189,48,75,967.5153024911032,223.78718861209964,1405
110,1,640,782,71,111,674.2282168186423,841.6322188449848,3948
110,2,932,178,46,81,958.0583850931677,220.26832298136645,1610
111,1,642,782,76,113,676.941672692215,842.1911303928657,4149
111,2,922,189,54,69,951.0687679083095,222.69398280802292,1745
112,1,643,783,71,111,677.1227844849731,843.7061392242487,3893
